user_id,freq
0,28
1,30
2,33
3,22
4,26
5,24
6,20
7,27
8,36
9,20
10,22
11,36
12,34
13,45
14,24
15,86
16,51
17,21
18,29
19,21
20,30
21,21
22,30
23,23
24,27
25,22
26,21
27,22
28,22
29,21
30,128
31,22
32,25
33,20
34,22
35,21
36,90
37,277
38,32
39,36
40,26
41,20
42,41
43,32
44,49
45,46
46,21
47,62
48,21
49,23
50,21
51,24
52,26
53,33
54,27
55,26
56,23
57,20
58,26
59,25
60,54
61,24
62,44
63,106
64,22
65,22
66,26
67,62
68,182
69,40
70,24
71,33
72,30
73,20
74,24
75,22
76,51
77,50
78,28
79,26
80,23
81,53
82,55
83,30
84,28
85,23
86,31
87,87
88,22
89,113
90,21
91,34
92,54
93,33
94,22
95,54
96,37
97,25
98,54
99,24
100,26
101,27
102,36
103,22
104,122
105,38
106,93
107,71
108,21
109,43
110,20
111,114
112,85
113,30
114,42
115,21
116,79
117,24
118,20
119,24
120,46
121,22
122,26
123,26
124,23
125,26
126,20
127,25
128,34
129,28
130,20
131,22
132,24
133,35
134,38
135,24
136,20
137,91
138,24
139,117
140,21
141,22
142,27
143,75
144,20
145,91
146,90
147,41
148,255
149,214
150,52
151,56
152,26
153,22
154,20
155,21
156,26
157,24
158,24
159,21
160,26
161,27
162,32
163,30
164,20
165,25
166,164
167,22
168,28
169,20
170,23
171,35
172,22
173,20
174,26
175,22
176,21
177,26
178,20
179,85
180,23
181,62
182,22
183,21
184,37
185,20
186,84
187,31
188,56
189,24
190,24
191,23
192,42
193,26
194,23
195,22
196,40
197,20
198,22
199,29
200,54
201,42
202,20
203,20
204,26
205,21
206,24
207,24
208,24
209,26
210,26
211,22
212,26
213,49
214,40
215,39
216,41
217,21
218,30
219,29
220,24
221,26
222,25
223,20
224,44
225,122
226,62
227,20
228,29
229,25
230,38
231,26
232,29
233,74
234,23
235,21
236,44
237,34
238,124
239,86
240,34
241,30
242,22
243,30
244,35
245,37
246,25
247,30
248,21
249,25
250,40
251,34
252,39
253,26
254,24
255,21
256,22
257,20
258,22
259,42
260,49
261,28
262,22
263,31
264,20
265,71
266,24
267,29
268,26
269,51
270,22
271,21
272,37
273,22
274,20
275,22
276,25
277,20
278,31
279,23
280,25
281,21
282,23
283,28
284,22
285,38
286,28
287,28
288,37
289,26
290,23
291,20
292,26
293,28
294,21
295,43
296,23
297,28
298,28
299,22
300,53
301,30
302,27
303,42
304,32
305,38
306,24
307,27
308,21
309,20
310,22
311,26
312,36
313,25
314,30
315,51
316,44
317,34
318,20
319,34
320,20
321,20
322,76
323,25
324,142
325,33
326,21
327,24
328,32
329,26
330,20
331,86
332,34
333,94
334,30
335,51
336,31
337,20
338,21
339,20
340,74
341,21
342,21
343,35
344,35
345,47
346,32
347,61
348,86
349,55
350,24
351,54
352,22
353,29
354,34
355,128
356,21
357,68
358,25
359,28
360,24
361,24
362,27
363,26
364,28
365,26
366,90
367,28
368,29
369,34
370,270
371,59
372,26
373,23
374,49
375,22
376,20
377,43
378,102
379,30
380,42
381,50
382,31
383,66
384,24
385,22
386,52
387,20
388,38
389,71
390,24
391,24
392,30
393,20
394,122
395,22
396,22
397,73
398,33
399,32
400,22
401,20
402,50
403,35
404,26
405,23
406,34
407,22
408,95
409,54
410,27
411,78
412,26
413,25
414,29
415,22
416,44
417,26
418,33
419,30
420,143
421,26
422,38
423,28
424,43
425,27
426,28
427,25
428,26
429,23
430,96
431,27
432,26
433,20
434,29
435,30
436,109
437,20
438,22
439,22
440,22
441,28
442,46
443,36
444,21
445,37
446,24
447,48
448,23
449,22
450,23
451,22
452,33
453,22
454,32
455,63
456,28
457,47
458,20
459,25
460,43
461,23
462,73
463,62
464,20
465,31
466,82
467,26
468,22
469,31
470,30
471,22
472,39
473,32
474,22
475,141
476,33
477,28
478,26
479,79
480,26
481,36
482,34
483,39
484,21
485,29
486,20
487,21
488,22
489,34
490,24
491,20
492,32
493,50
494,54
495,111
496,20
497,52
498,27
499,21
500,28
501,41
502,22
503,100
504,26
505,46
506,74
507,73
508,26
509,22
510,25
511,44
512,35
513,34
514,39
515,22
516,26
517,20
518,32
519,32
520,22
521,31
522,167
523,33
524,25
525,26
526,20
527,35
528,29
529,30
530,43
531,34
532,42
533,20
534,22
535,24
536,26
537,21
538,21
539,22
540,22
541,24
542,26
543,28
544,26
545,22
546,31
547,30
548,27
549,26
550,21
551,20
552,41
553,35
554,39
555,22
556,20
557,58
558,30
559,27
560,22
561,106
562,26
563,29
564,20
565,30
566,25
567,36
568,72
569,21
570,39
571,34
572,86
573,31
574,23
575,22
576,34
577,31
578,32
579,26
580,26
581,47
582,24
583,29
584,29
585,41
586,21
587,26
588,25
589,70
590,70
591,25
592,22
593,23
594,31
595,43
596,21
597,20
598,34
599,25
600,34
601,62
602,21
603,21
604,79
605,26
606,32
607,25
608,22
609,31
610,23
611,20
612,22
613,27
614,22
615,30
616,52
617,38
618,23
619,35
620,20
621,99
622,24
623,26
624,23
625,42
626,37
627,230
628,27
629,36
630,28
631,46
632,26
633,62
634,30
635,46
636,20
637,84
638,174
639,54
640,62
641,26
642,62
643,32
644,34
645,40
646,37
647,20
648,51
649,25
650,90
651,29
652,246
653,46
654,35
655,56
656,40
657,22
658,23
659,41
660,22
661,21
662,24
663,92
664,20
665,20
666,109
667,22
668,22
669,52
670,24
671,46
672,31
673,42
674,26
675,47
676,40
677,22
678,101
679,22
680,41
681,38
682,35
683,50
684,49
685,53
686,43
687,30
688,22
689,34
690,23
691,49
692,26
693,26
694,22
695,26
696,20
697,21
698,30
699,23
700,24
701,21
702,20
703,22
704,22
705,35
706,27
707,46
708,234
709,32
710,31
711,36
712,33
713,46
714,32
715,38
716,105
717,130
718,26
719,24
720,28
721,26
722,30
723,42
724,46
725,28
726,46
727,44
728,83
729,28
730,24
731,40
732,38
733,28
734,21
735,20
736,39
737,89
738,31
739,44
740,24
741,30
742,30
743,50
744,21
745,50
746,82
747,65
748,22
749,74
750,72
751,23
752,26
753,41
754,42
755,22
756,242
757,21
758,28
759,38
760,30
761,33
762,22
763,22
764,67
765,28
766,21
767,64
768,35
769,22
770,24
771,34
772,22
773,46
774,22
775,33
776,24
777,26
778,22
779,26
780,32
781,30
782,22
783,39
784,24
785,43
786,33
787,20
788,29
789,25
790,26
791,30
792,21
793,21
794,24
795,42
796,30
797,83
798,22
799,33
800,22
801,26
802,22
803,27
804,31
805,24
806,27
807,30
