user_id,freq
0,20
1,25
2,26
3,32
4,28
5,26
6,33
7,40
8,24
9,24
10,26
11,36
12,24
13,26
14,29
15,21
16,21
17,24
18,26
19,29
20,30
21,25
22,45
23,20
24,31
25,34
26,81
27,36
28,85
29,34
30,59
31,25
32,29
33,46
34,38
35,34
36,20
37,22
38,42
39,22
40,24
41,28
42,28
43,34
44,34
45,30
46,20
47,20
48,26
49,25
50,21
51,23
52,48
53,37
54,29
55,36
56,54
57,29
58,31
59,24
60,30
61,20
62,45
63,61
64,27
65,46
66,51
67,20
68,48
69,22
70,39
71,22
72,22
73,30
74,72
75,20
76,22
77,34
78,26
79,37
80,26
81,27
82,41
83,30
84,38
85,26
86,40
87,46
88,51
89,23
90,36
91,27
92,31
93,50
94,50
95,26
96,23
97,68
98,59
99,103
100,78
101,70
102,40
103,102
104,26
105,22
106,24
107,28
108,124
109,238
110,31
111,30
112,39
113,26
114,49
115,28
116,20
117,29
118,29
119,27
120,25
121,30
122,37
123,23
124,27
125,56
126,37
127,34
128,22
129,46
130,22
131,38
132,27
133,26
134,23
135,33
136,46
137,27
138,32
139,24
140,42
141,82
142,20
143,23
144,23
145,20
146,32
147,43
148,22
149,22
150,24
151,36
152,23
153,20
154,25
155,68
156,56
157,25
158,22
159,23
160,30
161,52
162,204
163,24
164,334
165,26
166,42
167,61
168,32
169,37
170,52
171,25
172,60
173,30
174,29
175,21
176,71
177,52
178,67
179,30
180,85
181,26
182,97
183,27
184,34
185,46
186,23
187,144
188,47
189,50
190,34
191,42
192,28
193,29
194,20
195,20
196,21
197,24
198,29
199,51
200,22
201,25
202,38
203,24
204,26
205,23
206,34
207,56
208,24
209,30
210,24
211,42
212,23
213,28
214,36
215,39
216,28
217,27
218,23
219,33
220,34
221,30
222,37
223,100
224,25
225,22
226,38
227,23
228,26
229,66
230,30
231,33
232,23
233,38
234,37
235,33
236,50
237,32
238,54
239,66
240,29
241,26
242,20
243,25
244,21
245,112
246,32
247,27
248,27
249,119
250,25
251,74
252,28
253,38
254,28
255,53
256,24
257,24
258,20
259,28
260,43
261,29
262,41
263,22
264,50
265,54
266,29
